"ID","Section Name","Year Level","School Year / Semester","Students"
"121","COE-101","1st Year","2023-2024 / 1st Semester","11 Students"
"122","IT-101","1st Year","2023-2024 / 1st Semester","30 Students"
"123","HRS 101","1st Year","2023-2024 / 1st Semester","18 Students"
"124","ACT-101","1st Year","2023-2024 / 1st Semester","7 Students"
"125","ACT-201","2nd Year","2023-2024 / 1st Semester","0 Students"
"126","HM-101","1st Year","2023-2024 / 1st Semester","30 Students"
"128","CS-201","2nd Year","2023-2024 / 1st Semester","1 Students"
"129","CET - 101","1st Year","2023-2024 / 1st Semester","1 Students"
"138","TTMT - 101","1st Year","2023-2024 / 1st Semester","4 Students"
"141","COE-301","3rd Year","2023-2024 / 1st Semester","1 Students"
"142","HM-201","2nd Year","2023-2024 / 1st Semester","2 Students"
"143","COE-201","2nd Year","2023-2024 / 1st Semester","0 Students"
"144","COE-401","4th Year","2023-2024 / 1st Semester","0 Students"
"146","HM-301","3rd Year","2023-2024 / 1st Semester","0 Students"
"147","HM-302","3rd Year","2023-2024 / 1st Semester","0 Students"
"148","HM-401","4th Year","2023-2024 / 1st Semester","0 Students"
"149","IT-201","2nd Year","2023-2024 / 1st Semester","0 Students"
"150","IT-301","3rd Year","2023-2024 / 1st Semester","1 Students"
"151","IT-401","4th Year","2023-2024 / 1st Semester","0 Students"
"152","CS-101","1st Year","2023-2024 / 1st Semester","7 Students"
"153","CS-301","3rd Year","2023-2024 / 1st Semester","0 Students"
"154","CS-401","4th Year","2023-2024 / 1st Semester","0 Students"
"155","HRS-201","2nd Year","2023-2024 / 1st Semester","3 Students"
"156","HM-202","2nd Year","2023-2024 / 1st Semester","1 Students"
"157","HM-203","2nd Year","2023-2024 / 1st Semester","1 Students"
"158","IT-202","2nd Year","2023-2024 / 1st Semester","0 Students"
"159","IT-302","3rd Year","2023-2024 / 1st Semester","0 Students"
"160","IT-402","4th Year","2023-2024 / 1st Semester","0 Students"
"161","HRT-101","1st Year","2023-2024 / 1st Semester","10 Students"
"162","HRT-201","2nd Year","2023-2024 / 1st Semester","0 Students"
"163","HRT-301","3rd Year","2023-2024 / 1st Semester","0 Students"
"164","HM-403","4th Year","2023-2024 / 1st Semester","14 Students"
"165","HM-402","4th Year","2023-2024 / 1st Semester","14 Students"
"166","HM-102","1st Year","2023-2024 / 1st Semester","30 Students"
"167","BSIT - 102","1st Year","2023-2024 / 1st Semester","21 Students"
"168","IT-403","4th Year","2023-2024 / 1st Semester","23 Students"
"169","HM-103","1st Year","2023-2024 / 1st Semester","27 Students"
"170","COE-402","4th Year","2023-2024 / 1st Semester","11 Students"
"172","HM-105","1st Year","2023-2024 / 1st Semester","0 Students"
"173","HRT-103","1st Year","2023-2024 / 1st Semester","0 Students"
"176","CET - 102","1st Year","2023-2024 / 1st Semester","0 Students"
"177","HRT-102","1st Year","2023-2024 / 1st Semester","0 Students"
"178","TTMT-102","1st Year","2023-2024 / 1st Semester","0 Students"
"179","HRT-103","1st Year","2023-2024 / 1st Semester","0 Students"
"180","IT-403","1st Year","2023-2024 / 1st Semester","0 Students"
"181","HM-403","4th Year","2023-2024 / 1st Semester","0 Students"
"182","HM-203","2nd Year","2023-2024 / 1st Semester","0 Students"
"183","HM-104","1st Year","2023-2024 / 1st Semester","1 Students"
"184","IT-202","2nd Year","2023-2024 / 1st Semester","0 Students"
"185","HRT-104","1st Year","2023-2024 / 1st Semester","0 Students"
"186","HRT - 202","2nd Year","2023-2024 / 1st Semester","2 Students"
